tenant_id,product_id,id,account_holder_id,name,currency,credit_limit,sanctioned_limit,open_date,_load_ts_ms,request_id,coa_id,ledger_id,account_number,cdc_source_ts_ms,attributes,flags,cdc_op
140793,2522743094697248881,f35d0c67-fea2-4bd3-acd5-bc07e8e049a9,bfab6879-45a8-4d30-ae53-12a9356e1a57,COA__4035248022331589538__639216,INR,900000000,,2010-03-07,1678716500000,K1DiR9QJykLcPS4TEzznOBYQHY,4035248022331589538,,0010014602824871,,"{""vbo-id"":""f57d7f96-b12a-40de-b45e-79dcf53ffe02"",""currency"":""INR"",""dontPostInterest"":""false"",""issuance.location"":""TN"",""dontAssessInterest"":""false"",""ruby.annual-fee.treatment"":""LIFETIME_FREE""}",{},
140793,2522743094697248881,1965a71b-c5b2-432b-882d-cfcf2b60d3d0,bb98c9e6-d442-4b9b-bfaf-148605f3d679,COA__4035248022331589538__142487,INR,900000000,,2010-03-10,1678797857000,ngfUDvA1d6Pk6GsCtiCy8plukS,4035248022331589538,,0010010935527470,,"{""vbo-id"":""f57d7f96-b12a-40de-b45e-79dcf53ffe02"",""currency"":""INR"",""dontPostInterest"":""false"",""issuance.location"":""TN"",""dontAssessInterest"":""false"",""ruby.annual-fee.treatment"":""LIFETIME_FREE""}",{},
140793,2522743094697248881,3ec42af3-374c-42e1-a2f2-f91fa7d837aa,c9b4a599-9d72-4fb7-aa52-dbbd636db1e3,COA__4035248022331589538__275631,INR,900000000,,2010-03-19,1678875714000,A0wOvovFtlmvxZXJcpoGZhSqEI,4035248022331589538,,0010018643723752,,"{""vbo-id"":""f57d7f96-b12a-40de-b45e-79dcf53ffe02"",""currency"":""INR"",""dontPostInterest"":""false"",""issuance.location"":""TN"",""dontAssessInterest"":""false"",""ruby.annual-fee.treatment"":""LIFETIME_FREE""}",{},
140793,2522743094697248881,9cb1be38-5a80-4541-9fa7-5bc50c90c087,8c53d5b5-5f44-41c0-99fc-469e52444996,COA_4035248022331589538_1679630914,INR,10000000,,2010-03-23,1679633966000,6d48c106-9a13-4dfe-a5e0-96668d8fa039,4035248022331589538,,0010013230017759,,"{""vbo-id"":""f57d7f96-b12a-40de-b45e-79dcf53ffe02"",""currency"":""INR"",""issuance.location"":""TN"",""ruby.annual-fee.treatment"":""REGULAR""}",,
140793,4553116145269988375,1f89b6fb-17f8-4ff9-91b6-7d8d4b42dde0,5b990f0a-d973-4dd7-8805-6bd13547a8a8,Durga1681103799216,INR,100000000,,2020-01-08,1681127219000,I0o95jQ64gMa0sKvD8i5iLaEIp,7575652030169009848,,0010016118981194,,"{""currency"":""INR"",""dontPostInterest"":""false"",""issuance.location"":""TN"",""dontAssessInterest"":""false"",""ruby.annual-fee.treatment"":""LIFETIME_FREE""}",,
140793,7762450906761625876,53b00320-14c4-4e16-ad3e-918bc3c34d1b,30e8c429-f5a0-4578-89a5-9c6f6ed02f4d,COA_8856676763747829001_1682234699,INR,100000000,,2010-03-27,1682237198000,1f1019fd-24f2-412b-9c47-bf3e3fd3825e,8856676763747829001,,0010019481264818,,"{""vbo-id"":""f57d7f96-b12a-40de-b45e-79dcf53ffe02"",""currency"":""INR"",""issuance.location"":""TN"",""ruby.annual-fee.treatment"":""REGULAR""}",,
600309,7712058760020738137,1d6a4d02-a4b6-4a05-8812-e5ba61d5cb58,5535f313-7d99-4e76-855c-501d2ec67d68,COA__1995340908378242767__196884,USD,10000000,,2023-01-09,1697463131000,GWK8yLS2ayZ05mMxwJW4vgSHGe,1995340908378242767,,6198184046877768,1697462639691,"{""currency"":""USD"",""dontPostInterest"":""false"",""issuance.location"":""TN"",""dontAssessInterest"":""false"",""ruby.annual-fee.treatment"":""LIFETIME_FREE""}",,
600309,7712058760020738137,9ecf0d04-1eaa-40f0-96a9-0bfb5af4b750,ff17a607-b917-49db-8527-6a069405b48f,COA__1995340908378242767__990863,USD,10000000,,2023-01-09,1697463131000,icpRgFI8QuOUIMV56E8thTWRvN,1995340908378242767,,6125563011451147,1697462724968,"{""currency"":""USD"",""dontPostInterest"":""false"",""issuance.location"":""TN"",""dontAssessInterest"":""false"",""ruby.annual-fee.treatment"":""LIFETIME_FREE""}",,
600309,3017235043440796086,e26437e1-b3f1-439a-9916-ebc964929f61,01ac81f0-e349-4409-9194-86deac900c90,COA__1441665598567441191__986306,USD,10000000,,2023-02-01,1697685778000,yC2aSnJLWCWbc6XMsdal63EoTS,1441665598567441191,,6111489246731473,1697685412271,"""{\""currency\"":\""USD\"",\""dontPostInterest\"":\""false\"",\""issuance.location\"":\""TN\"",\""dontAssessInterest\"":\""false\"",\""ruby.annual-fee.treatment\"":\""LIFETIME_FREE\""}""",,
600309,3017235043440796086,5ca7871b-00bb-4cc4-a55f-306325f607cb,005c4d11-cbbd-4344-b9d1-a2339d4c1dbf,COA__1441665598567441191__920265,USD,10000000,,2023-02-01,1697685778000,6yjlH34cAiYJvT6WL9aINiOlVw,1441665598567441191,,6106834934605926,1697685484228,"""{\""currency\"":\""USD\"",\""dontPostInterest\"":\""false\"",\""issuance.location\"":\""TN\"",\""dontAssessInterest\"":\""false\"",\""ruby.annual-fee.treatment\"":\""LIFETIME_FREE\""}""",,
