id,ifi_id,application_id,type,value,status,created_at,updated_at,_load_ts_ms,attributes,cdc_source_ts_ms,cdc_op
e43da146-e7a4-4808-b82b-13a8df7f2e4c,162402,24721182-da59-44dc-a08e-b5abd305adb3,e,updateda07be66a-d0d4-4d34-9f0b-5c1884b8a155@email.com,ENABLED,2020-09-01 12:13:15.236000,2020-09-01 12:13:17.430000,1681733470000,,,
cf60e530-88f3-4800-ae63-213792fc7286,162402,24721182-da59-44dc-a08e-b5abd305adb3,e,48c83036-ecd6-4ec2-8996-26bd375ae690@email.com,DELETED,2020-09-01 12:13:17.789000,2020-09-01 12:13:18.889000,1681733470000,,,
71ee8dea-9d8e-4cc7-8210-16f07a24ee0c,162402,1a45b72d-e5c3-4aaa-93f9-01ac043fee31,p,87456734s565,ENABLED,2020-09-01 19:07:30.725000,2020-09-01 19:07:30.725000,1681733470000,,,
ad93d78e-f952-4803-8b96-b92d8a53e3b8,162402,df3b5f74-de96-48c1-b9e9-c0154515e7f2,p,8745673ew4s565,ENABLED,2020-09-01 19:37:40.175000,2020-09-01 19:37:40.175000,1681733470000,,,
7e13a687-34cb-4b55-bb4f-087d096f93bc,162402,6a4041a5-5e53-42e9-8c2b-a209f4a17b3d,e,1600101784442mathilda.grimes@hotmail.com,ENABLED,2020-09-14 16:43:04.682000,2020-09-15 02:10:22.814000,1681733470000,{},,
84a80a8a-6b2c-49eb-87ca-5f86ecfad9bf,162402,81dae667-9531-4dc1-b69a-33334fcb4ace,p,+1600102165986,ENABLED,2020-09-14 16:49:26.230000,2020-09-15 02:10:22.814000,1681733470000,{},,
2d857435-f4ad-4717-9f46-7fca51dae632,162402,5ca43263-e648-4f7a-ab48-0af56bfb4974,e,1600102166284thomasina.johns@hotmail.com,ENABLED,2020-09-14 16:49:26.621000,2020-09-15 02:10:22.814000,1681733470000,{},,
a823ec77-12b0-45d3-bbdb-4ffb947f398c,162402,6d198d39-e607-42a2-bab0-77951b075308,p,+1600118237714,ENABLED,2020-09-14 21:17:17.979000,2020-09-15 02:10:22.814000,1681733470000,{},,
8776f30c-9118-44b1-a977-b5d4560a0b3b,162402,1494cbab-53dd-43d3-a939-7fcb17a45c1c,p,+1600118238018,ENABLED,2020-09-14 21:17:18.307000,2020-09-15 02:10:22.814000,1681733470000,{},,
f326b91d-4d6e-4948-b92c-8ba11d0645ff,162402,aa0f6ccc-e591-4a4e-8ea2-7b38efa7a300,p,+1600149495354,ENABLED,2020-09-15 05:58:14.906000,2020-09-15 05:58:15.677000,1681733470000,{},,
