cardreferencenumber,cardholdergender,cardholdername,nameoncard,employeeid,companyid,firstname,middlename,lastname,embossingname,salutation,additionallineoncard,phonenumber,emailaddress,deliveryaddressline1,deliveryaddressline2,deliveryaddressline3,deliveryaddressline4,deliveryaddressstate,deliveryaddresscountry,deliveryaddresspincode,deliveryaddresscity,deliveryaddressphoneno,deliveryaddressmobileno,deliveryaddressemail,dispatchpin,clientorderid,clientordercreatorid,clientid,clientname,status,card6x4,embossingfilename,cardid,startdatemonth,startdateseparator,startdateyear,expirydatemonth,expirydateseparator,expirydateyear,addressline1,addressline2,addressline3,addressline4,pincode,city,state,country,embossingthirdline,embossingfourthline,plasticcode,productcode,templateid,cardskuid,requesttimestamp,ispersonalized,clientcardid,recordid,orderid,deliveryaddressname,_load_ts_ms,vendorid,batchid,groupid,scheduleinstanceid,issuancetype,additionalattributes,notificationurls,files,vendorresponse,cdc_source_ts_ms,cdc_op
104661806595,,,,,,,,,,,,,,,,,,,,,,,,,False,ce23c393-22c2-4bb2-b7f5-226856b02936,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-4580,,,1,/,23,12,/,25,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-01-16 12:29:19.270912+00:00,False,0,1,947afd6d-547e-4d5e-be85-795ceb123c40,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
144268561839,,,,,,,,,,,,,,,,,,,,,,,,,False,a08a1d82-770d-411f-a2dc-caa838e4660c,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-0799,,,1,/,23,12,/,25,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-01-21 08:24:15.896949+00:00,False,0,1,7c2a988e-e0ec-4860-a191-a08de3642676,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
190322418517,,,,,,,,,,,,,,,,,,,,,,,,,False,77448a29-3fcb-4442-9e86-b1d6b7171e98,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-4823,,,3,/,23,2,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-03-13 13:25:35.116087+00:00,False,0,1,962abbbe-a7a9-422a-9bb1-aad528c1b97d,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
124168033801,,,,,,,,,,,,,,,,,,,,,,,,,False,94008110-3877-4eb1-b58d-e284fa8f6bc6,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-4624,,,4,/,23,3,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-04-10 06:07:01.667099+00:00,False,0,1,3d878284-618a-4a71-a814-8e88d209235c,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
174329191597,,,,,,,,,,,,,,,,,,,,,,,,,False,30182b50-f179-4ecb-b2f6-03f5ec45552c,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-9644,,,4,/,23,3,/,26,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-04-10 06:08:25.182667+00:00,False,0,1,f1f10936-30c6-44d6-adcf-af467a9af856,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
121984173854,,COA__1441665598567441191__920265,COA__1441665598567441191__920265,,,,,,COA__1441665598567441191__920265,,,,,Directiplex,Near Andheri Subway,Old Nagardas Road,Andheri East,Maharashtra,India,755023,Mumbai,+919090909090,,,False,73691ee2-88da-4684-95a0-166c2740f555FPO,,embossing,,EMBOSSING_FILE_GENERATED,888830-xxxxxx-7777,,,9,/,23,9,/,27,,,,,,,,,COA__1441665598567441191__920265,Joseph,WHITEC,CRPUS003001_LSG,,SKUUS003001_LSG,2023-09-14 15:37:40.276549+00:00,False,0,1,9aa9f392-de68-4897-8235-f66ce5c0a19f,Farzan Shaikh,1695800923000,VENIN00100703,53d78d92-0d8d-4c11-833a-fa25742d8470,SKUUS003001_LSG_VENIN00100703,ee6d5cb9-ee8d-404e-8609-f47436c74511_27_09_2023,NEW_ISSUANCE,"""{\""cashlimit\"":\""30001\"",\""homephone\"":\""9930158052\"",\""landmark1\"":\""mazgaon\"",\""landmark2\"":\""anjeerwadi\"",\""resmailid\"":\""idristinwala53@gmail.com\"",\""trackingId\"":\""00000000000\"",\""creditlimit\"":\""1000001\"",\""officephone\"":\""2307899\"",\""productName\"":\""ZAPPCREDIT\"",\""accountnumber\"":\""30315183\"",\""promodiscount\"":\""999\"",\""officialmailid\"":\""idristi@zeta.tech\""}""","""[]""","""{\""EMBOSSING\"":{\""fileName\"":\""ftp1317-20230927131243.pgp\"",\""backupFileName\"":\""used/88883001/Evolve.EMB.20230927131243.pgp\"",\""fileGenerationTimeStamp\"":\""2023-09-27T07:43:29.926Z[UTC]\""}}""","""null""",1695800610030,
104126586947,,COA__1441665598567441191__038881,COA__1441665598567441191__038881,,,,,,COA__1441665598567441191__038881,,,,,Directiplex,Near Andheri Subway,Old Nagardas Road,Andheri East,Maharashtra,India,755023,Mumbai,+919090909090,,,False,4ba8d502-e444-4091-a7fc-ab0cda1e46e0FPO,,embossing,,EMBOSSING_FILE_GENERATED,888830-xxxxxx-4619,,,9,/,23,9,/,27,,,,,,,,,COA__1441665598567441191__038881,Joseph,WHITEC,CRPUS003001_LSG,,SKUUS003001_LSG,2023-09-14 15:37:55.918495+00:00,False,0,1,28801e88-5035-4213-90a4-46fb98415667,Farzan Shaikh,1695800923000,VENIN00100703,53d78d92-0d8d-4c11-833a-fa25742d8470,SKUUS003001_LSG_VENIN00100703,ee6d5cb9-ee8d-404e-8609-f47436c74511_27_09_2023,NEW_ISSUANCE,"""{\""cashlimit\"":\""30001\"",\""homephone\"":\""9930158052\"",\""landmark1\"":\""mazgaon\"",\""landmark2\"":\""anjeerwadi\"",\""resmailid\"":\""idristinwala53@gmail.com\"",\""trackingId\"":\""00000000000\"",\""creditlimit\"":\""1000001\"",\""officephone\"":\""2307899\"",\""productName\"":\""ZAPPCREDIT\"",\""accountnumber\"":\""30315183\"",\""promodiscount\"":\""999\"",\""officialmailid\"":\""idristi@zeta.tech\""}""","""[]""","""{\""EMBOSSING\"":{\""fileName\"":\""ftp1317-20230927131243.pgp\"",\""backupFileName\"":\""used/88883001/Evolve.EMB.20230927131243.pgp\"",\""fileGenerationTimeStamp\"":\""2023-09-27T07:43:29.926Z[UTC]\""}}""","""null""",1695800610030,
104855087893,,COA__1995340908378242767__857437,COA__1995340908378242767__857437,,,,,,COA__1995340908378242767__857437,,,,,Directiplex,Near Andheri Subway,Old Nagardas Road,Andheri East,Maharashtra,India,755023,Mumbai,+919090909090,,,False,e5d72258-5a7b-423f-b830-919aaa84618fFPO,,embossing,,EMBOSSING_FILE_GENERATED,888830-xxxxxx-1648,,,9,/,23,9,/,27,,,,,,,,,COA__1995340908378242767__857437,Joseph,WHITEC,CRPUS003001_LSG,,SKUUS003001_LSG,2023-09-14 15:39:23.803071+00:00,False,0,1,45e15e63-c3f2-4410-b9b9-64284d8943c1,Farzan Shaikh,1695964924000,VENIN00100703,53d78d92-0d8d-4c11-833a-fa25742d8470,SKUUS003001_LSG_VENIN00100703,ee6d5cb9-ee8d-404e-8609-f47436c74511_29_09_2023,NEW_ISSUANCE,"""{\""cashlimit\"":\""30001\"",\""homephone\"":\""9930158052\"",\""landmark1\"":\""mazgaon\"",\""landmark2\"":\""anjeerwadi\"",\""resmailid\"":\""idristinwala53@gmail.com\"",\""trackingId\"":\""00000000000\"",\""creditlimit\"":\""1000001\"",\""officephone\"":\""2307899\"",\""productName\"":\""ZAPPCREDIT\"",\""accountnumber\"":\""30315183\"",\""promodiscount\"":\""999\"",\""officialmailid\"":\""idristi@zeta.tech\""}""","""[]""","""{\""EMBOSSING\"":{\""fileName\"":\""ftp1317-20230929104644.pgp\"",\""backupFileName\"":\""used/88883001/Evolve.EMB.20230929104644.pgp\"",\""fileGenerationTimeStamp\"":\""2023-09-29T05:17:27.817Z[UTC]\""}}""","""null""",1695964647948,
181612651406,,,,,,,,,,,,,,,,,,,,,,,,,False,7de0e626-7d85-47cb-b81d-1aa90f82b10f,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-7475,,,1,/,23,12,/,25,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-01-18 07:29:48.464470+00:00,False,0,1,c134da96-e615-4b21-aa34-aa403dcef1be,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
180501252094,,,,,,,,,,,,,,,,,,,,,,,,,False,46139f92-81fd-40db-800f-d2fc72efb7a1,Mumbai,rupay-embossing,,CARD_DATA_PERSISTED,989898-xxxxxx-8863,,,1,/,23,12,/,25,,,,,,,,,,,WHITEC,RBLZAPPCREDIT,,RBL_VISA_ZAPP_PHY,2023-01-18 12:38:22.078452+00:00,False,0,1,ac2d14e3-cb2c-486e-a6a0-1d3abc23e8dc,,1689332304000,,878ddaed-d649-404f-a159-957217a09055,,,NEW_ISSUANCE,"""{}""","""[]""","""{}""","""null""",1683530848675,
