coupon_id,ledger_id,issue_value,redeemed_value,signed_coupon_hash,cloned_from_coupon_id,created_for_posting_id,redeemed_for_posting_id,attributes,created_at,expires_at,issued_at,effective_from,curn,book_time,value_time,state,reason_code,predecessor_coupon,state_transition_map,terms,redemption_info,_load_ts_ms,cdc_source_ts_ms,cdc_op
00000838-d64d-4bd2-b859-8723243b6369,2914777236407127965,99,,random_hash,,263531,,"{""postingAttributes"":{""dueDate"":""2020-04-08"",""endDate"":""1586456999999"",""isForced"":""true"",""policyURI"":""policy://code/INDIGO_6E_LATE_CHARGE_FEE1_4202712136292510534/version/2"",""productID"":""4202712136292510700"",""startDate"":""1586370600000"",""eventOwner"":""RUBY"",""journal.self"":""false"",""isP2PTransfer"":""false"",""netChargeable"":""1298"",""totalAmountDue"":""4756562"",""accountHolderID"":""d4120e31-e09c-4160-9c82-9a77f88b0bbd"",""ruby.chargeType"":""CGST"",""minimumAmountDue"":""847553"",""journal.voucherCode"":""LATE_CHARGE"",""defaultTimeReference"":""BOOK"",""ruby.isBaseTransaction"":""false"",""derivedChargeInvoiceNumber"":""TCC2009975030807"",""ruby.derivedChargeComponentPercentage"":""9""},""postingCategories"":[""RetailUnbilled"",""gstUnbilled""]}",2023-01-09 10:39:05.684000,,2023-01-09 10:39:05.684000,2023-01-09 10:39:05.696362+00:00,263531,2020-04-08 18:31:00+00:00,2020-04-07 18:31:00+00:00,ACTIVE,,,"{""ACTIVE"":{""startTime"":1673260745684},""ISSUED"":{""endTime"":1673260745684,""startTime"":1673260745684}}","{""interest"":{""term"":{""graceDate"":1586995200000,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}",,1691390599000,1691390215009,
000055d1-e2e7-4760-8aa8-5820b5f59089,2397502805637803262,4500,4500,random_hash,,789768,789772,"{""postingAttributes"":{""isForced"":""true"",""policyURI"":""policy://code/INDIGO_6E_CASH_ADVANCE_CHARGE_2653830196691503905/version/1"",""chargeType"":""CW_CHARGE"",""journal.self"":""false"",""isP2PTransfer"":""false"",""ruby.chargeCode"":""CGSTAFHDFC001"",""ruby.chargeType"":""CGST"",""journal.voucherCode"":""CARD_CASH_CLEARANCE_AGAINST_HOLD"",""ruby.baseChargeType"":""CashAdvanceFee"",""defaultTimeReference"":""BOOK"",""ruby.chargeRequestID"":""AUTO24468242508185"",""ruby.isBaseTransaction"":""false"",""ruby.derivedChargeInvoiceNumber"":""TCC1005147764483"",""ruby.derivedChargeComponentPercentage"":""9""},""postingCategories"":[""RetailUnbilled"",""gstUnbilled""]}",2023-02-07 09:46:13.596000,,2023-02-07 09:46:13.596000,2023-02-07 09:46:13.608379+00:00,789768,2010-02-20 18:30:00+00:00,2010-02-20 18:30:30+00:00,REDEEMED,,,"{""ACTIVE"":{""endTime"":1675763176895,""startTime"":1675763173596},""ISSUED"":{""endTime"":1675763173596,""startTime"":1675763173596},""REDEEMED"":{""startTime"":1675763176895}}","{""interest"":{""term"":{""graceDate"":1267468199999,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}","{""value"":4500,""bookTime"":""2010-02-21T00:00:00+05:30"",""postingID"":789772,""valueTime"":""2010-02-21T00:00:00+05:30"",""redeemedAt"":""2023-02-07T09:46:16.895Z"",""systemTime"":""2023-02-07T15:16:16.286+05:30"",""redemptionType"":""FULL"",""reissuedCoupons"":[],""causedByPostingID"":""789771""}",1691390599000,1691390215009,
0001c6c4-ecad-4015-92da-145cba499fff,3715501910209054676,4500,,random_hash,,291996,,"{""postingAttributes"":{""chargeID"":""ab203163-54c1-4a91-9252-d4e2cef326d4"",""isForced"":""true"",""journal.self"":""false"",""isP2PTransfer"":""false"",""ruby.chargeCode"":""CGSTAFHDFC001"",""ruby.chargeType"":""CGST"",""journal.voucherCode"":""CARD_CASH_CLEARANCE_AGAINST_HOLD"",""ruby.baseChargeType"":""CashAdvanceFee"",""defaultTimeReference"":""BOOK"",""ruby.chargeRequestID"":""Cash_Req_clearance_1679302790"",""ruby.isBaseTransaction"":""false""},""postingCategories"":[""RetailUnbilled"",""gstUnbilled""]}",2023-03-20 09:00:13.748000,,2023-03-20 09:00:13.748000,2023-03-20 09:00:13.768646+00:00,291996,2020-05-05 18:30:00+00:00,2020-05-06 10:15:45+00:00,ACTIVE,,,"{""ACTIVE"":{""startTime"":1679302813748},""ISSUED"":{""endTime"":1679302813748,""startTime"":1679302813748}}","{""interest"":{""term"":{""graceDate"":1588962599999,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}",,1691390599000,1691390215009,
00062cd2-dcda-4cb5-b5c1-74d3472e5575,3715501910209054676,4500,,random_hash,,292758,,"{""postingAttributes"":{""chargeID"":""c5deb28d-01bd-4bf1-bb5c-2da2d20e0a97"",""isForced"":""true"",""journal.self"":""false"",""isP2PTransfer"":""false"",""ruby.chargeCode"":""SGSTAFHDFC001"",""ruby.chargeType"":""SGST"",""journal.voucherCode"":""CARD_CASH_CLEARANCE_AGAINST_HOLD"",""ruby.baseChargeType"":""CashAdvanceFee"",""defaultTimeReference"":""BOOK"",""ruby.chargeRequestID"":""Cash_Req_clearance_1679303759"",""ruby.isBaseTransaction"":""false""},""postingCategories"":[""RetailUnbilled"",""gstUnbilled""]}",2023-03-20 09:17:41.910000,,2023-03-20 09:17:41.910000,2023-03-20 09:17:41.970350+00:00,292758,2020-05-05 18:30:00+00:00,2020-05-06 10:15:45+00:00,ACTIVE,,,"{""ACTIVE"":{""startTime"":1679303861910},""ISSUED"":{""endTime"":1679303861910,""startTime"":1679303861910}}","{""interest"":{""term"":{""graceDate"":1588962599999,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}",,1691390599000,1691390215011,
0014eeb1-7bd3-4bd0-90e6-d5a0070fc85b,3715501910209054676,32,,random_hash,,292532,,"{""postingAttributes"":{""isForced"":""true"",""policyURI"":""policy://code/INDIGO_6E_FOREX_MARKUP_CHARGE_4202712136292510534/version/3"",""chargeType"":""CASH_FCC_FEE_CHARGES"",""journal.self"":""false"",""isP2PTransfer"":""false"",""ruby.chargeCode"":""SGSTAFHDFC001"",""ruby.chargeType"":""SGST"",""journal.voucherCode"":""CARD_PURCHASE_CLEARANCE_AGAINST_HOLD"",""ruby.baseChargeType"":""ForeignExchangeMarkup"",""defaultTimeReference"":""BOOK"",""ruby.chargeRequestID"":""ClsTxn1679303455"",""ruby.isBaseTransaction"":""false"",""ruby.derivedChargeInvoiceNumber"":""TCC2012615349248"",""ruby.derivedChargeComponentPercentage"":""9""},""postingCategories"":[""RetailUnbilled"",""gstUnbilled""]}",2023-03-20 09:12:02.855000,,2023-03-20 09:12:02.855000,2023-03-20 09:12:02.874469+00:00,292532,2020-05-05 18:30:00+00:00,2020-05-06 10:15:45+00:00,ACTIVE,,,"{""ACTIVE"":{""startTime"":1679303522855},""ISSUED"":{""endTime"":1679303522855,""startTime"":1679303522855}}","{""interest"":{""term"":{""graceDate"":1588962599999,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}",,1691390599000,1691390215014,
00155014-cc83-4cea-b49e-79efae84b075,1182584150671143399,4500,4500,random_hash,,100373,100433,"{""postingAttributes"":{""chargeID"":""8507f351-427e-4d90-ad76-f65d95353815"",""isForced"":""true"",""journal.self"":""false"",""isP2PTransfer"":""false"",""ruby.chargeCode"":""SGSTAFHDFC001"",""ruby.chargeType"":""SGST"",""journal.voucherCode"":""CARD_CASH_CLEARANCE_AGAINST_HOLD"",""ruby.baseChargeType"":""CashAdvanceFee"",""defaultTimeReference"":""BOOK"",""ruby.chargeRequestID"":""AUTO2600318837021"",""ruby.isBaseTransaction"":""false""},""postingCategories"":[""RetailUnbilled"",""gstUnbilled""]}",2023-01-02 15:26:31.797000,,2023-01-02 15:26:31.797000,2023-01-02 15:26:31.877671+00:00,100373,2020-04-05 18:30:30+00:00,2020-04-05 18:30:30+00:00,REDEEMED,,,"{""ACTIVE"":{""endTime"":1672673211824,""startTime"":1672673191797},""ISSUED"":{""endTime"":1672673191797,""startTime"":1672673191797},""REDEEMED"":{""startTime"":1672673211824}}","{""interest"":{""term"":{""graceDate"":1586370599999,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}","{""value"":4500,""bookTime"":""2020-04-06T23:45:45+05:30"",""postingID"":100433,""valueTime"":""2020-04-06T23:45:45+05:30"",""redeemedAt"":""2023-01-02T15:26:51.824Z"",""systemTime"":""2023-01-02T20:56:50+05:30"",""redemptionType"":""FULL"",""reissuedCoupons"":[],""causedByPostingID"":""100389""}",1691390599000,1691390215014,
00168bac-a47f-4062-b3d9-8b1fcca3d04b,2681014649497604053,50000,,random_hash,,224411,,"{""postingAttributes"":{""dueDate"":""2010-03-20"",""endDate"":""1269196199999"",""isForced"":""true"",""policyURI"":""policy://code/INDIGO_6E_LATE_CHARGE_FEE1_2653830196691503905/version/2"",""productID"":""2653830196691504100"",""startDate"":""1269109800000"",""eventOwner"":""RUBY"",""journal.self"":""false"",""isP2PTransfer"":""false"",""netChargeable"":""59000"",""totalAmountDue"":""399720"",""accountHolderID"":""f0ccd9a7-b3ea-4cfb-a10c-a07cfdb95ff5"",""ruby.chargeType"":""LateFee"",""minimumAmountDue"":""365241"",""journal.voucherCode"":""LATE_CHARGE"",""defaultTimeReference"":""BOOK"",""ruby.isBaseTransaction"":""true""},""postingCategories"":[""LateFeeUnbilled"",""RetailUnbilled""]}",2023-03-02 12:44:01.328000,,2023-03-02 12:44:01.328000,2023-03-02 12:44:01.351436+00:00,224411,2010-03-20 18:31:00+00:00,2010-03-19 18:31:00+00:00,ACTIVE,,,"{""ACTIVE"":{""startTime"":1677761041328},""ISSUED"":{""endTime"":1677761041328,""startTime"":1677761041328}}","{""interest"":{""term"":{""graceDate"":1269734400000,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}",,1691390599000,1691390215014,
00306bca-9d77-448f-b08d-edbc15e5bc28,6062708977877174863,50000,,random_hash,,114440,,"{""postingAttributes"":{""dueDate"":""2010-02-28"",""endDate"":""1267468199999"",""isForced"":""true"",""policyURI"":""policy://code/INDIGO_6E_LATE_CHARGE_FEE1_2653830196691503905/version/2"",""productID"":""2653830196691504100"",""startDate"":""1267381800000"",""eventOwner"":""RUBY"",""journal.self"":""false"",""isP2PTransfer"":""false"",""netChargeable"":""59000"",""totalAmountDue"":""61000"",""accountHolderID"":""6efbd984-8ddb-4e7a-9e76-b02683486a52"",""ruby.chargeType"":""LateFee"",""minimumAmountDue"":""59100"",""journal.voucherCode"":""LATE_CHARGE"",""defaultTimeReference"":""BOOK"",""ruby.isBaseTransaction"":""true""},""postingCategories"":[""LateFeeUnbilled"",""RetailUnbilled""]}",2023-02-21 13:31:20.108000,,2023-02-21 13:31:20.108000,2023-02-21 13:31:20.215216+00:00,114440,2010-02-28 18:31:00+00:00,2010-02-27 18:31:00+00:00,ACTIVE,,,"{""ACTIVE"":{""startTime"":1676986280108},""ISSUED"":{""endTime"":1676986280108,""startTime"":1676986280108}}","{""interest"":{""term"":{""graceDate"":1268006400000,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}",,1691390599000,1691390215017,
0037b806-af2f-4e92-b770-d6d90814d33a,2676696978630000209,2500,,random_hash,,940390,,"{""postingAttributes"":{""hold.ids"":[""72c4c803-c7f0-4e09-96b2-a5b7f26557cd""],""isForced"":""true"",""authRequest"":{""value"":[{""type"":""Cardholder Billing"",""currency"":""INR"",""amount"":2500},{""type"":""Transaction"",""currency"":""INR"",""amount"":2500}],""conversionRate"":""1.000000""},""channelCode"":""CHNINZZ1013"",""journal.self"":""false"",""isP2PTransfer"":""false"",""journal.voucherCode"":""CARD_PURCHASE_CLEARANCE_AGAINST_HOLD"",""defaultTimeReference"":""BOOK"",""super-card.isDomestic"":""false"",""ruby.isBaseTransaction"":""true"",""metaPosting.postingCode"":""consume-hold"",""x.transactionCurrencyCode"":""USD"",""authRequest.value.currency"":""USD"",""clearing.firstPresentment.initTime"":""2203270043000"",""clearing.firstPresentment.debit.transactionCurrencyCode "":""USD""},""postingCategories"":[""RetailPrincipalUnbilled"",""RetailUnbilled"",""purchase-hold"",""Spends"",""debit-hold""]}",2023-04-25 07:24:44.732000,,2023-04-25 07:24:44.732000,2023-04-25 07:24:44.753419+00:00,940390,2020-01-30 18:30:00+00:00,2020-01-31 09:15:45+00:00,ACTIVE,,,"{""ACTIVE"":{""startTime"":1682407484732},""ISSUED"":{""endTime"":1682407484732,""startTime"":1682407484732}}","{""interest"":{""term"":{""graceDate"":1580668199999,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE01"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/ECOM_RATE_001?version=3"",""gracePeriodType"":""POLICY""}}}}}",,1691390599000,1691390215018,
003f0f90-92da-4a21-8780-b8bc44756a9a,6809549049432662146,11700,11700,random_hash,,983441,983471,"{""postingAttributes"":{""dueDate"":""2010-05-05"",""endDate"":""1273170599999"",""isForced"":""true"",""policyURI"":""policy://code/INDIGO_6E_LATE_CHARGE_FEE1_2522743094697248881/version/10"",""productID"":""2522743094697248800"",""startDate"":""1273084200000"",""eventOwner"":""RUBY"",""journal.self"":""false"",""isP2PTransfer"":""false"",""netChargeable"":""153400"",""totalAmountDue"":""11618542"",""accountHolderID"":""9ef4b391-dd4b-408a-bdf7-5ddf748af9c4"",""ruby.chargeType"":""CGST"",""minimumAmountDue"":""2069403"",""journal.voucherCode"":""LATE_CHARGE"",""defaultTimeReference"":""BOOK"",""ruby.isBaseTransaction"":""false"",""derivedChargeInvoiceNumber"":""TCC1012550810106"",""ruby.derivedChargeInvoiceNumber"":""TCC1012550810106"",""ruby.derivedChargeComponentPercentage"":""9""},""postingCategories"":[""RetailUnbilled"",""gstUnbilled""]}",2023-04-19 05:26:58.246000,,2023-04-19 05:26:58.246000,2023-04-19 05:26:58.358889+00:00,983441,2010-05-05 18:31:00+00:00,2010-05-04 18:31:00+00:00,REDEEMED,,,"{""ACTIVE"":{""endTime"":1682166227819,""startTime"":1681882018246},""ISSUED"":{""endTime"":1681882018246,""startTime"":1681882018246},""REDEEMED"":{""startTime"":1682166227819}}","{""interest"":{""term"":{""graceDate"":1273708800000,""programCode"":""GEN_PRGRM_HDFC_V1"",""interestRule"":{""ruleId"":""RULE02"",""modelParameters"":{""margin"":0.0,""rateTable"":""/rateSpecificationCodes/RT0001_0_INT?version=2"",""gracePeriodType"":""POLICY""}}}}}","{""value"":11700,""bookTime"":""2010-05-14T00:00:00+05:30"",""postingID"":983471,""valueTime"":""2010-05-14T05:30:00+05:30"",""redeemedAt"":""2023-04-22T12:23:47.818Z"",""systemTime"":""2023-04-22T17:53:46.721+05:30"",""redemptionType"":""FULL"",""reissuedCoupons"":[],""causedByPostingID"":""983467""}",1691390599000,1691390215019,
