ifi_id,id,object_type,object_id,vector_type,vector_value,status,created_at,updated_at,_load_ts_ms,cdc_source_ts_ms,cdc_op
140793,0253fd01-3eac-49df-94c8-ee2751418ee3,ledger,7624789983242126875,account-no,0010016715442731,ACTIVE,2023-10-16 14:12:59.215000,2023-10-16 14:12:59.215000,1697466324000,1697465579218,
140793,18adbf87-f590-42cb-b498-adac8068af8c,ledger,8950188043109062994,account-id,e3d6b0e1-0302-490e-8ee8-9b2e2f3f5c79,ACTIVE,2023-04-10 06:07:00.530000,2023-04-10 06:07:00.530000,1687279415000,1687279048372,
600309,1d643f9c-ab5e-47f0-be86-a34159572af4,ledger,7036165555003290793,account-id,9ecf0d04-1eaa-40f0-96a9-0bfb5af4b750,ACTIVE,2023-10-16 13:25:25.113000,2023-10-16 13:25:25.113000,1697463220000,1697462725116,
600309,1d8979a7-96a8-4545-b397-65b96aa0cbd9,ledger,1789568842219088810,account-no,6140319842681381,ACTIVE,2023-09-29 04:49:56.111000,2023-09-29 04:49:56.111000,1695963328000,1695962996114,
140793,2e45dbe6-49f9-4ff3-be93-71e58e4480b2,ledger,2610445462204426753,account-id,799f1acb-ed93-488f-a2ba-b938ea007ac0,ACTIVE,2023-03-24 04:04:28.974000,2023-03-24 04:04:28.974000,1679665908000,,
140793,45c6e7b4-8e69-4f21-9c6e-1b403c88637c,ledger,4214859983996377520,account-id,45fc5bcd-8015-434a-a21e-90563559430f,ACTIVE,2023-03-13 13:25:14.236000,2023-03-13 13:25:14.236000,1679665908000,,
140793,50e74cbb-b180-4b32-90b8-47ae897d53b1,ledger,5962684267211494232,account-no,0010014235945234,ACTIVE,2023-04-23 11:34:22.176000,2023-04-23 11:34:22.176000,1687279415000,1687279049210,
600309,51580304-e6f8-48ed-82d8-84af3a1f0e5c,ledger,7236532208803250161,account-id,81605b15-ab08-42ae-9970-eeb576b13287,ACTIVE,2023-09-27 07:23:07.978000,2023-09-27 07:23:07.978000,1695799721000,1695799387981,
600309,54415470-03f3-46bc-954c-6baa31c11b09,ledger,7639948258772203966,account-id,f7605a7a-3547-4bda-accd-82d11b47350e,ACTIVE,2023-09-27 07:27:12.145000,2023-09-27 07:27:12.145000,1695800034000,1695799632147,
140793,564d148e-c6d1-431c-8845-19a2d7e46691,ledger,4040110858554956938,account-no,0010015603005998,ACTIVE,2023-03-15 10:32:45.661000,2023-03-15 10:32:45.661000,1679665908000,,
600309,6fd8e32f-42f5-42ff-9da6-609aa9af3b23,ledger,8311454326117044147,account-id,c5347e47-c636-4f7a-b8cc-252d224730c0,ACTIVE,2023-09-27 06:36:51.265000,2023-09-27 06:36:51.265000,1695796968000,1695796611267,
140793,72f44846-47d0-4b64-b97a-903a704dfb7c,ledger,5405749746944749890,account-no,0010016932479755,ACTIVE,2023-04-23 07:26:04.426000,2023-04-23 07:26:04.426000,1687279415000,1687279050091,
600309,733e3f3c-b136-4a6b-83f7-de52fc82001f,ledger,7239719579359769178,account-no,6106834934605926,ACTIVE,2023-09-27 07:26:14.926000,2023-09-27 07:26:14.926000,1695800034000,1695799574928,
600309,763f7556-7429-4647-a5d3-e157de96fb0f,ledger,3188596155460517602,account-no,6198078450621631,ACTIVE,2023-09-27 07:25:18.018000,2023-09-27 07:25:18.018000,1695800034000,1695799518020,
140793,8a142342-eb3d-47bc-97ef-037f41616430,ledger,4289278603131975889,account-no,0010014713928314,ACTIVE,2023-03-24 09:33:50.422000,2023-03-24 09:33:50.422000,1679665908000,,
600309,8b80bb59-0fdf-45ed-b64e-4734278e0a34,ledger,1806584076525034248,account-id,5eade24f-764a-43ab-8144-4f027a0eb66c,ACTIVE,2023-09-29 04:57:28.382000,2023-09-29 04:57:28.382000,1695964091000,1695963448384,
600309,937801ed-1a0a-4f6b-917e-e1c3d7934169,ledger,1088644771886435437,account-id,9ba55b59-ee29-4c04-ac46-48e390d1f9e8,ACTIVE,2023-09-27 07:25:58.681000,2023-09-27 07:25:58.681000,1695800034000,1695799558683,
600309,a3b5b91d-cc5d-463d-a58f-a39a8418062b,ledger,7239719579359769178,account-id,5ca7871b-00bb-4cc4-a55f-306325f607cb,ACTIVE,2023-09-27 07:26:14.926000,2023-09-27 07:26:14.926000,1695800034000,1695799574928,
600309,bf7ae31f-3644-48d6-be13-ffdc3251f367,ledger,1806584076525034248,account-no,6158502680053768,ACTIVE,2023-09-29 04:57:28.382000,2023-09-29 04:57:28.382000,1695964091000,1695963448384,
600309,d83f7d68-8e5b-4cd0-8589-8545ebc47e1b,ledger,1638067862578547513,account-no,6111489246731473,ACTIVE,2023-09-27 07:23:37.585000,2023-09-27 07:23:37.585000,1695799721000,1695799417586,
140793,e9494d09-189f-4b3b-ad6b-8974e78bb2af,ledger,6968648153677021225,account-no,0010012677354493,ACTIVE,2023-01-21 08:24:09.467000,2023-01-21 08:24:09.467000,1679665908000,,
140793,f6efa46c-b56a-4df4-8879-e2225f5debfc,ledger,4040110858554956938,account-id,ec8c8dd7-b67c-4795-8d21-b1f5b3d44b29,ACTIVE,2023-03-15 10:32:45.661000,2023-03-15 10:32:45.661000,1679665908000,,
140793,08a39e9f-a2a2-4663-b8dd-316ecb0d8cf9,ledger,1710505310430524820,account-no,0010016475302588,ACTIVE,2023-01-16 12:29:18.437000,2023-01-16 12:29:18.437000,1679665908000,,
140793,0c55f3b3-2a8f-4e64-b0d0-6cebc6fe47fb,ledger,3313149172402862550,account-no,0010019359751219,ACTIVE,2023-04-10 06:08:24.767000,2023-04-10 06:08:24.767000,1687279415000,1687279048325,
140793,1732828b-8ad1-437c-a1c8-fe1f59121004,ledger,7403395039964645676,account-id,53b00320-14c4-4e16-ad3e-918bc3c34d1b,ACTIVE,2023-04-23 07:25:00.196000,2023-04-23 07:25:00.196000,1687279415000,1687279048332,
600309,3498234b-066c-4a15-b823-fdf6ef697094,ledger,3355845198898976559,account-no,6115171880203433,ACTIVE,2023-09-27 07:27:32.483000,2023-09-27 07:27:32.483000,1695800034000,1695799652485,
140793,462e6fc5-d3aa-43d6-8dee-17fb2ab6f7d1,ledger,3154937599461087223,account-no,0010018643723752,ACTIVE,2023-03-15 09:31:21.866000,2023-03-15 09:31:21.866000,1679665908000,,
600309,4a527f61-6acb-4b64-9891-add84f019459,ledger,7236532208803250161,account-no,6103741257779472,ACTIVE,2023-09-27 07:23:07.978000,2023-09-27 07:23:07.978000,1695799721000,1695799387981,
140793,4af2afab-1bb4-41a6-ba46-39dd9d3813e2,ledger,9196499495089390629,account-id,d087335c-2e0d-49af-9497-8dd6f21d0594,ACTIVE,2023-01-18 12:38:14.032000,2023-01-18 12:38:14.032000,1679665908000,,
140793,52983363-efa0-4b0d-b69a-c568222a8c83,ledger,8950188043109062994,account-no,0010011140327292,ACTIVE,2023-04-10 06:07:00.530000,2023-04-10 06:07:00.530000,1687279415000,1687279049212,
